obs,name,address,total_staff,total_non_staff
271,LA County Sheriff's Department - Industry Station,"150 N Hudson Ave, City of Industry, CA, 91744",15,0
272,LA County Sheriff's Department - Inmate Services Bureau Operations,"4700 W Ramona Blvd, Monterey Park, CA, 91754",5,0
273,Laborers' Local 300 Union,"2005 W Pico Blvd, Los Angeles, CA, 90006",3,0
274,LADWP - Northridge District,"18718 Rayen St, Northridge, CA, 91324",13,0
275,LAFD Fire Station 1,"2230 Pasadena Ave, Los Angeles, CA, 90031",11,0
276,LAFD Fire Station 60,"5320 Tujunga Ave, North Hollywood, CA, 91601",5,0
277,LAFD Fire Station 74,"7777 Foothill Blvd, Tujunga, CA, 91042",7,0
278,LAFD Fire Station 78,"4041 Whitsett Ave, Studio City, CA, 91604",11,0
279,LAFD Fire Station 98,"13035 Van Nuys Blvd, Pacoima, CA, 91331",5,0
280,Lake Balboa Lifeguard Station,"6300 Balboa Blvd, Van Nuys, CA, 91316",3,0
281,"Lakin Tires West, Inc.","15305 Spring Ave, Santa Fe Springs, CA, 90670",18,0
282,Lance Camper,"43120 Venture St, Lancaster, CA, 93535",45,0
283,Langer's Juice Company,"16195 Stephens St, City of Industry, CA, 91745",21,0
284,LAPD 77th Street Community Police Station,"7600 S Broadway, Los Angeles, CA, 90003",59,0
285,LAPD Central Community Police Station,"251 E 6th St, Los Angeles, CA, 90014",57,0
286,LAPD Foothill Community Police Station,"12760 Osborne St, Pacoima, CA, 91331",14,0
287,LAPD Headquarters,"100 W 1st St, Los Angeles, CA, 90012",54,0
288,LAPD Metropolitan Communications Dispatch Center,"100 N Los Angeles St, Los Angeles, CA, 90012",14,0
289,LAPD Newton Community Police Station,"3400 S Central Ave, Los Angeles, CA, 90011",86,0
290,LAPD North Hollywood Community Police Station,"11640 Burbank Blvd, North Hollywood, CA, 91601",16,0
291,LAPD Northeast Community Police Station,"3353 N San Fernando Rd, Los Angeles, CA, 90065",27,0
292,LAPD Olympic Community Police Station,"1130 S Vermont Ave, Los Angeles, CA, 90006",40,0
293,LAPD Rampart Community Police Station,"1401 W 6th St, Los Angeles, CA, 90017",44,0
294,LAPD Southeast Community Police Station,"145 W 108th St, Los Angeles, CA, 90061",48,0
295,LAPD Southwest Community Police Station,"1546 W Martin Luther King Jr Blvd, Los Angeles, CA, 90062",57,0
296,LAPD Topanga Community Police Station,"21501 Schoenborn St, Canoga Park, CA, 91304",25,0
297,LAPD Van Nuys Community Police Station,"6240 Sylmar Ave, Van Nuys, CA, 91401",25,0
298,LAPD Wilshire Community Police Station,"4861 Venice Blvd, Los Angeles, CA, 90019",36,0
299,Law Offices of Steffanie Stelnick,"28001 Smyth Dr, Ste 101, Valencia, CA, 91355",4,0
300,Law Offices of Todd L Melnik,"20920 Warner Center Ln, Woodland Hills, CA, 91367",3,0
301,LAX Terminal 4 - American Airlines,"400 World Way, Los Angeles, CA, 90045",216,0
302,LAX Terminal 5 - JetBlue Airways,"500 World Way, Los Angeles, CA, 90045",7,0
303,Legacy Frames,"11220 Wright Rd, Lynwood, CA, 90262",24,0
304,Level Furnishing,"888 S Olive St, Los Angeles, CA, 90014",16,0
305,Lexus of Cerritos,"18800 Studebaker Rd, Cerritos, CA, 90703",17,0
306,Liberty Ambulance LLC,"9441 Washburn Rd, Downey, CA, 90242",5,0
307,Lina Gale/Markwins,"230 S 9th Ave, City of Industry, CA, 91746",14,0
308,Lincare,"21821 Plummer St, Chatsworth, CA, 91311",4,0
309,Line 204 LLC,"12224 Montague St, Pacoima, CA, 91331",11,0
310,Lisi Aerospace,"2600 Skypark Dr, Torrance, CA, 90505",29,0
311,Little Caesars Pizza #5903,"751 S Workman St, San Fernando, CA, 91340",7,0
312,"Los Altos Food Products, LLC","450 Baldwin Park Blvd, City of Industry, CA, 91746",22,0
313,Los Amigos Restaurant,"2825 W Olive Ave, Burbank, CA, 91505",4,0
314,Los Angeles Dodgers LLC,"1000 Vin Scully Ave, Los Angeles, CA, 90012",12,1
315,"Los Angeles Motor Cars, Inc.","2025 S Figueroa St, Los Angeles, CA, 90007",41,0
316,Louis Vuitton US Manufacturing - Irwindale,"4775 Irwindale Ave, Irwindale, CA, 91706",14,0
317,Louis Vuitton US Manufacturing - San Dimas,"321 W Covina Blvd, San Dimas, CA, 91773",15,0
318,"LYMI, Inc.","2263 E Vernon Ave, Vernon, CA, 90058",21,0
319,Marathon Petroleum,"2350 E 223rd St, Carson, CA, 90810",34,0
320,Mark Ridley-Thomas Behavioral Health Center,"12021 Wilmington Ave, Building 18, Los Angeles, CA, 90059",10,0
321,Marshalls,"8880 Washington Blvd, Pico Rivera, CA, 90660",17,0
322,MATT Construction #2,"1111 S Broadway, Los Angeles, CA, 90015",4,0
323,McDonald's #599,"9309 Slauson Ave, Pico Rivera, CA, 90660",12,0
324,McDonald's #1411,"1133 N La Brea Ave, West Hollywood, CA, 90038",12,0
325,McDonald's #1779,"15628 Gale Ave, Hacienda Heights, CA, 91745",14,0
326,McDonald's #11826,"101 W Manchester Ave, Los Angeles, CA, 90003",6,0
327,McDonald's #14283,"4480 E Olympic Blvd, Los Angeles, CA, 90023",17,0
328,McDonald's #25565,"11240 Glenoaks Blvd, Pacoima, CA, 91331",5,0
329,McStarlite Company,"1531 240th St, Harbor City, CA, 90710",6,0
330,MedReach Ambulance,"1303 Kona Dr, Compton, CA, 90220",3,0
331,Meggitt Engine Systems,"12838 Saticoy St, North Hollywood, CA, 91605",25,0
332,Mercury Air Cargo Building 213,"6040 Avion Dr, Los Angeles, CA, 90045",40,0
333,Mercury Air Cargo Building 216,"6041 W Imperial Hwy, Los Angeles, CA, 90045",39,0
334,"Mercury Plastics, Inc.","14825 Salt Lake Ave, City of Industry, CA, 91746",29,0
335,Metro Division 13,"920 N Vignes St, Los Angeles, CA, 90012",33,0
336,Metro Division 18,"450 W Griffith St, Gardena, CA, 90248",25,0
337,Metropolitan Courthouse,"1945 S Hill St, Los Angeles, CA, 90007",16,0
338,Michael Kors Distribution Center,"3777 Workman Mill Rd, Whittier, CA, 90601",88,0
339,Michaels Arts and Craft Store - Burbank,"1551 N Victory Pl, Burbank, CA, 91502",11,0
340,Michaels Distribution Center,"3501 W Avenue H, Lancaster, CA, 93536",12,0
341,"Micronova Manufacturing, Inc.","3431 Lomita Blvd, Torrance, CA, 90505",6,0
342,Miracle Works,"730 Los Angeles Ave, Monrovia, CA, 91016",5,0
343,Mission Foods Corp.,"5505 E Olympic Blvd, Commerce, CA, 90022",111,0
344,"Mission Foods, Panorama","14200 Arminta St, Panorama City, CA, 91402",25,0
345,Mistras,"8427 Atlantic Ave, Cudahy, CA, 90201",32,0
346,"Mola, Inc.","3226 E 44th St, Vernon, CA, 90058",19,0
347,Morley Construction Company,"5500 W 98th St, Los Angeles, CA, 90045",65,0
348,Morton Manufacturing,"201 E Avenue K15, Lancaster, CA, 93535",25,0
349,Moss & Company Property Management - Zelzah Court Apartments,"9810 Zelzah Ave, Northridge, CA, 91325",4,0
350,Motor Car Parts of America,"2929 California St, Torrance, CA, 90503",42,0
351,MV Transportation #183,"21222 S Wilmington Ave, Carson, CA, 90810",6,0
352,National Notary Association,"9350 De Soto Ave, Chatsworth, CA, 91311",22,0
353,National Rent A Car (Enterprise),"9020 Aviation Blvd, Inglewood, CA, 90301",18,0
354,National Wire & Cable Corp.,"136 N San Fernando Rd, Los Angeles, CA, 90031",10,0
355,Nature's Produce,"3305 Bandini Blvd, Vernon, CA, 90058",12,0
356,NBC Universal - Mr. Mayer Production,"100 Universal City Plz, Bldg 5225, Universal City, CA, 91608",12,0
357,NBC Universal Stage 1,"3900 Lankershim Boulevard, Stage 1, Building 2230, Studio City, CA, 91604",7,0
358,Neiman Marcus-Beverly Hills,"9700 Wilshire Blvd, Beverly Hills, CA, 90212",13,0
359,Netflix Productions,"18421 S Main St, Gardena, CA, 90248",9,0
360,New Century Plaza - South Tower,"2025 Avenue of The Stars, Los Angeles, CA, 90067",13,0
361,New Hampshire Ball Bearings,"9700 Independence Ave, Chatsworth, CA, 91311",35,0
362,New Vac,"9330 De Soto Ave, Chatsworth, CA, 91311",26,0
363,Nippon Express,"300 Westmont Dr, San Pedro, CA, 90731",14,0
364,Nissan of West Covina,"205 N Citrus St, West Covina, CA, 91791",11,0
365,"Nordstrom, Los Cerritos Center","300 Los Cerritos Mall, Cerritos, CA, 90703",29,0
366,"Nordstrom, Topanga Plaza","21725 Victory Blvd, Canoga Park, CA, 91303",13,0
367,Northridge Mills,"1901 1st St, San Fernando, CA, 91340",12,0
368,Northrop Grumman - Azusa,"1111 W 3rd St, Azusa, CA, 91702",37,0
369,Northrop Grumman - Palmdale,"3520 E Avenue M, Palmdale, CA, 93550",410,0
370,Novacap LLC,"25111 Anza Dr, Valencia, CA, 91355",33,0
371,Novolex Zenith Bag,"17625 Railroad St, City of Industry, CA, 91748",18,0
372,"Nowhere Calabasas, LLC Dba. Erewhon Market","26767 Agoura Rd, Calabasas, CA, 91302",14,0
373,"Ontic Engineering and Manufacturing, Inc.","20400 Plummer St, Chatsworth, CA, 91311",31,0
374,OnTrac Shipping - Commerce,"5959 Randolph St, Commerce, CA, 90040",61,0
375,OnTrac Shipping Delivery Services,"11051 Pendleton St, Sun Valley, CA, 91352",19,0
376,Pactiv,"12500 Slauson Ave, Santa Fe Springs, CA, 90670",35,0
377,Pals Eindelijk El Monte (Pals Inc),"11645 Mcbean Dr, El Monte, CA, 91732",5,0
378,Panda Express #2521,"8315 Laurel Canyon Blvd, Sun Valley, CA, 91352",5,0
379,Pankow Construction #2,"8899 Beverly Blvd, West Hollywood, CA, 90048",85,0
380,Paramount Exclusive Insurance,"15760 Ventura Blvd, Encino, CA, 91436",7,0
381,Parkhouse Tires,"5960 Shull St, Bell Gardens, CA, 90201",51,0
382,PB Fasteners,"1700 W 132nd St, Gardena, CA, 90249",25,0
383,Penske Chevrolet of Cerritos,"18605 Studebaker Rd, Cerritos, CA, 90703",15,0
384,Penske Truck Leasing Co.,"1104 N Eastern Ave, Los Angeles, CA, 90063",4,0
385,Performance Ford,"2000 E Garvey Ave S, West Covina, CA, 91791",13,0
386,Performance Team LLC,"12816 Shoemaker Ave, Santa Fe Springs, CA, 90670",15,0
387,"Pinto Express, Inc.","1001 W Walnut St, Compton, CA, 90220",7,0
388,Pomona Police Department,"490 W Mission Blvd, Pomona, CA, 91766",25,0
389,Popcornopolis LLC,"3200 E Slauson Ave, Vernon, CA, 90058",30,0
390,"PRC Restoration, Inc.","23839 Banning Blvd, Carson, CA, 90745",14,0
391,"Pro Packing, Inc.","100 Broad Ave, Wilmington, CA, 90744",4,0
392,"Project Site, NFL Media Center","900 District Dr, Inglewood, CA, 90301",41,0
393,Puritan Bakery,"1624 E Carson St, Carson, CA, 90745",28,0
394,Quality Custom Distribution,"14317 Lomitas Ave, La Puente, CA, 91746",49,0
395,R Planet Earth,"5300 S Boyle Ave, Vernon, CA, 90058",22,0
396,R3 Los Angeles,"15959 Piuma Ave, Cerritos, CA, 90703",6,0
397,"Rancho Foods, Inc.","2528 E 37th St, Vernon, CA, 90058",38,0
398,"RC Furniture, Inc.","1111 Jellick Ave, City of Industry, CA, 91748",24,0
399,"Remo, Inc.","28101 Industry Dr, Valencia, CA, 91355",22,0
400,Revolve,"12889 Moore St, Cerritos, CA, 90703",28,0
401,Reyes Coca-Cola Bottling,"1334 S Central Ave, Los Angeles, CA, 90021",31,0
402,Reynaldo's Mexican Food Co.,"3301 E Vernon Ave, Vernon, CA, 90058",11,0
403,Rich Products Corp. Torrance,"22417 S Vermont Ave, Torrance, CA, 90502",22,0
404,"Riedon, Inc.","300 Cypress Ave, Alhambra, CA, 91801",17,0
405,"Ritz Flooring, Inc.","14909 Calvert St, Van Nuys, CA, 91411",3,0
406,Robert F. Chapman (Metal Fabrication),"43100 Exchange Pl, Lancaster, CA, 93535",33,0
407,Robinson Helicopter Company,"2901 Airport Dr, Torrance, CA, 90505",12,0
408,Rose and Shore,"5151 Alcoa Ave, Vernon, CA, 90058",21,0
409,Rose Hills Memorial Park and Mortuary,"3888 Workman Mill Rd, Whittier, CA, 90601",9,0
410,Royal Truck Body,"24200 Main St, Carson, CA, 90745",13,0
411,RTC Aerospace,"20409 Prairie St, Chatsworth, CA, 91311",31,0
412,Rudolph & Sletten,"3525 W 8th St, Los Angeles, CA, 90005",9,0
413,Russel Westbrook Car Dealership,"6110 Van Nuys Blvd, Van Nuys, CA, 91401",17,0
414,Sam's Club #26,"4901 Santa Anita Ave, El Monte, CA, 91731",32,0
415,Santa Monica Public Safety Facility,"333 Olympic Dr, Santa Monica, CA, 90401",13,0
416,Saunders Midwest NUPLA LLC,"11912 Sheldon St, Sun Valley, CA, 91352",27,0
417,"Schrey & Sons Mold Co., Inc.","24735 Rockefeller Ave, Valencia, CA, 91355",3,0
418,Seafood City,"1525 E Amar Rd, West Covina, CA, 91792",11,0
419,Seafood City Supermarket,"134 S Vermont Ave # 140, Los Angeles, CA, 90004",8,0
420,See's Candies (La Cienega Manufacturing),"3243 S La Cienega Blvd, Los Angeles, CA, 90016",12,0
421,See's Candies Carson,"20600 S Alameda St, Carson, CA, 90810",27,0
422,Senior Aerospace SSP,"2980 N San Fernando Blvd, Burbank, CA, 91504",77,0
423,"Shine Food, Inc.","19216 Normandie Ave, Torrance, CA, 90502",10,0
424,"Signal Products, Inc.","4270 S Maywood Ave, Vernon, CA, 90058",3,0
425,Simplify Optics,"24844 Avenue Rockefeller, Valencia, CA, 91355",16,0
426,Smithfield,"3049 E Vernon Ave, Vernon, CA, 90058",698,0
427,Smurfit Kappa North America,"440 Baldwin Park Blvd, City of Industry, CA, 91746",22,0
428,Snak King,"16150 Stephens St, City of Industry, CA, 91745",24,0
429,Snap on Specialty Tools,"19220 San Jose Ave, City of Industry, CA, 91748",29,0
430,Southland Box Company,"4201 Fruitland Ave, Vernon, CA, 90058",12,0
431,Space Corporation,"1 Rocket Rd, Hawthorne, CA, 90250",3,0
432,Spears Manufacturing Company,"15853 Olden St, Sylmar, CA, 91342",40,0
433,Sprouts Farmers Market #236,"1011 N San Fernando Blvd, Burbank, CA, 91504",13,0
434,Sprouts Farmers Market #272,"6607 Fallbrook Ave, West Hills, CA, 91307",16,0
435,Sprouts Farmers Market #285,"915 N La Brea Ave, West Hollywood, CA, 90038",12,0
436,Sprouts Farmers Market #411,"8985 Venice Blvd, Los Angeles, CA, 90034",9,0
437,Sprouts Farmers Market #418,"1375 Foothill Blvd, La Verne, CA, 91750",5,0
438,"Square-H Brands, Inc.","2731 S Soto St, Vernon, CA, 90058",20,0
439,St. Peter Chanel Parish,"12001 214th St, Hawaiian Gardens, CA, 90716",10,0
440,Staples #1499 Koreatown,"3223 W 6th St, Los Angeles, CA, 90020",5,0
441,Star Nail / Cuccio,"29120 Avenue Paine, Valencia, CA, 91355",33,0
442,Starbucks Mission Hills,"11109 Sepulveda Blvd, Mission Hills, CA, 91345",5,0
443,Starbucks Montebello,"2501 W Whittier Blvd, Montebello, CA, 90640",5,0
444,Stonefire Grill #2,"6405 Fallbrook Ave, West Hills, CA, 91307",17,0
445,Subway,"4954 Van Nuys Blvd, 107, Sherman Oaks, CA, 91403",3,0
446,Sugar Foods,"9500 El Dorado Ave, Sun Valley, CA, 91352",8,0
447,Sunrider,"1461 Francisco St, Torrance, CA, 90501",23,0
448,Superior Court of California - Stanley Mosk Courthouse,"111 N Hill St, Los Angeles, CA, 90012",61,0
449,Superior Grocers #114,"151 S Hacienda Blvd, City of Industry, CA, 91745",9,0
450,"Superior Lithographics, Inc.","3055 Bandini Blvd, Vernon, CA, 90058",19,0
451,Synedgen,"1420 N Claremont Blvd, Claremont, CA, 91711",3,0
452,Tamarack Studios,"8615 Tamarack Ave, Sun Valley, CA, 91352",17,0
453,Target #184,"2120 W Main St, Alhambra, CA, 91801",54,0
454,Target #189,"5600 Whittier Blvd, Commerce, CA, 90022",21,0
455,Target #190,"5700 Firestone Blvd, South Gate, CA, 90280",19,0
456,Target #290,"2169 W Redondo Beach Blvd, Gardena, CA, 90247",13,0
457,Target #299,"8840 Corbin Ave, Northridge, CA, 91324",28,0
458,Target #1033,"3100 Baldwin Park Blvd, Baldwin Park, CA, 91706",16,0
459,Target #1306,"3535 S La Cienega Blvd, Los Angeles, CA, 90016",61,0
460,Target #1307,"5711 Sepulveda Blvd, Van Nuys, CA, 91411",38,0
461,Target #1309,"14920 Raymer St, Van Nuys, CA, 91405",47,0
462,Target #1329,"3471 W Century Blvd, Inglewood, CA, 90303",15,0
463,Target #1408,"2626 Colorado Blvd, Los Angeles, CA, 90041",18,0
464,Target #1411,"3600 Rosemead Blvd, Rosemead, CA, 91770",50,0
465,Target #1424,"12051 Imperial Hwy, Norwalk, CA, 90650",32,0
466,Target #1884,"7100 Santa Monica Blvd, West Hollywood, CA, 90046",46,0
467,Target #2143,"6700 Topanga Canyon Blvd, Canoga Park, CA, 91303",14,0
468,Target #2319,"950 E 33rd St, Signal Hill, CA, 90755",30,0
469,Target #2776,"735 S Figueroa St, Los Angeles, CA, 90017",22,0
470,Taslimi Construction-Spotify,"555 Mateo St, Los Angeles, CA, 90013",17,0
471,Techmer PM,"18420 S Laurel Park Rd, Rancho Dominguez, CA, 90220",33,0
472,Tempur-Sealy Mattress Company,"825 Ajax Ave, City of Industry, CA, 91748",21,0
473,"TFC Manufacturing, Inc.","4001 Watson Plaza Dr, Lakewood, CA, 90712",18,0
474,The American Bottling Company,"3220 E 26th St, Vernon, CA, 90058",10,0
475,The Austin Company-Aerojet Rocketdyne,"8900 De Soto Ave, Canoga Park, CA, 91304",11,0
476,The Bicycle Hotel & Casino,"888 Bicycle Casino Dr, Bell Gardens, CA, 90201",11,0
477,The Gill Corporation,"4056 Easy St, Building 1, El Monte, CA, 91731",16,0
478,The Habit Burger Grill - Chatsworth,"9243 Winnetka Ave, Chatsworth, CA, 91311",5,0
479,The Habit Burger Grill - Echo Park,"2134 W Sunset Blvd, A, Los Angeles, CA, 90026",5,0
480,The Habit Burger Grill - South Gate,"4791 Firestone Blvd, South Gate, CA, 90280",4,0
481,"The Huntington Library, Art Museum, and Botanical Gardens","1151 Oxford Rd, San Marino, CA, 91108",10,0
482,"Thibiant International, Inc.","20320 Prairie St, Chatsworth, CA, 91311",79,0
483,Time Tec Watch Service Center,"635 S Hill St, #209, Los Angeles, CA, 90014",5,0
484,TK Services,"6118 Alcoa Ave, Vernon, CA, 90058",5,0
485,"Toyota of Downey, Penske","9136 Firestone Blvd, Downey, CA, 90241",22,0
486,"Toyota, Frontier","23621 Creekside Rd, Valencia, CA, 91355",14,0
487,"Toyota, Longo","3534 Peck Rd, El Monte, CA, 91731",81,0
488,Trader Joe's Granada Hills,"11114 Balboa Blvd, Granada Hills, CA, 91344",5,0
489,Trader Joe's Los Angeles - Olympic Blvd,"11755 W Olympic Blvd, Los Angeles, CA, 90064",21,0
490,Trader Joe's North Hollywood,"6130 Laurel Canyon Blvd, North Hollywood, CA, 91606",23,0
491,Trader Joe's Studio City,"11976 Ventura Blvd, Studio City, CA, 91604",13,0
492,Transdev-Foothill Transit,"5640 Peck Rd, Arcadia, CA, 91006",46,0
493,U-Haul Moving & Storage #713026,"17959 E Valley Blvd, City of Industry, CA, 91744",10,0
494,UCLA Research Support Unit,"221 Westwood Plaza, Los Angeles, CA, 90095",11,0
495,Universal Warehouse Company,"2850 E Del Amo Blvd, Carson, CA, 90745",14,0
496,UPS - Bell,"4700 Eastern Ave, Bell, CA, 90201",12,0
497,"UPS - Boyle Trailer Shop, Vernon","4925 S Boyle Ave, Vernon, CA, 90058",4,0
498,UPS - Cerritos,"13233 Moore St, Cerritos, CA, 90703",60,0
499,UPS - Compton,"1430 N Mckinley Ave, Los Angeles, CA, 90059",14,0
500,UPS - La Mirada,"16301 Trojan Way, La Mirada, CA, 90638",17,0
501,UPS - Olympic Hub,"1201 W Olympic Blvd, Los Angeles, CA, 90015",30,0
502,US Airforce Plant 42 Fire Station,"2501 E Avenue S, Palmdale, CA, 93550",8,0
503,USPS - Carson Annex,"24760 Main St, Carson, CA, 90745",14,0
504,VACCO Industries,"10350 Vacco St, South El Monte, CA, 91733",47,0
505,Vallarta Supermarket #08,"9136 Sepulveda Blvd, North Hills, CA, 91343",4,0
506,Vallarta Supermarket #25,"3425 Whittier Blvd, Los Angeles, CA, 90023",12,0
507,Vallarta Supermarket #26,"9011 Woodman Ave, Arleta, CA, 91331",8,0
508,Vallarta Supermarkets Corporate Office,"10147 San Fernando Rd, Pacoima, CA, 91331",22,0
509,Valley Thrift Store - Azusa,"777 W Foothill Blvd, Azusa, CA, 91702",6,0
510,Value Valley Center,"13630 Victory Blvd, Van Nuys, CA, 91401",27,0
511,Vance & Hines,"13861 Rosecrans Ave, Santa Fe Springs, CA, 90670",5,0
512,Vans Distribution Center,"15700 Shoemaker Ave, Santa Fe Springs, CA, 90670",28,0
513,Vege-Kurl,"412 W Cypress St, Glendale, CA, 91204",16,0
514,Veggie Grill - Toluca Lake,"4300 W Riverside Dr, Burbank, CA, 91505",9,0
515,Velvet LLC,"3961 Landmark St, Culver City, CA, 90232",16,0
516,"Vernon Sales, Inc.","2788 E Vernon Ave, Vernon, CA, 90058",10,0
517,Vista Sotheby's International Realty,"16 Malaga Cove Plz, Palos Verdes Estates, CA, 90274",4,0
518,Vons West Hollywood,"8969 Santa Monica Blvd, West Hollywood, CA, 90069",22,0
519,Voyant Beauty,"9250 Mason Ave, Chatsworth, CA, 91311",15,0
520,Warner Bros Television - Young Sheldon,"4000 Warner Blvd, Building 191, Burbank, CA, 91522",11,0
521,Waste Management - Azusa Transfer Station and Recycling Center,"1501 W Gladstone St, Azusa, CA, 91702",7,0
522,Wells Fargo Bank - El Monte,"9000 Flair Dr, El Monte, CA, 91731",31,0
523,Westlake Financial Services,"29851 Agoura Rd, Agoura Hills, CA, 91301",4,0
524,"Whole Foods Market, 23rd & Wilshire Blvd","2201 Wilshire Blvd, Santa Monica, CA, 90403",28,0
525,"Whole Foods Market, Burbank","3401 W Olive Ave, Burbank, CA, 91505",13,0
526,"Whole Foods Market, Downtown LA","788 S Grand Ave, Los Angeles, CA, 90017",15,0
527,"Whole Foods Market, Glendale","331 N Glendale Ave, Glendale, CA, 91206",12,0
528,"Whole Foods Market, Porter Ranch","20209 Rinaldi St, Porter Ranch, CA, 91326",11,0
529,"Whole Foods Market, Sherman Oaks","14311 Ventura Blvd, Sherman Oaks, CA, 91423",26,0
530,"Whole Foods Market, West Hollywood","7871 Santa Monica Blvd, West Hollywood, CA, 90046",11,0
531,"Whole Foods Market, Westwood","1050 Gayley Ave, Los Angeles, CA, 90024",12,0
532,"Whole Foods Market, Woodland Hills","21347 Ventura Blvd, Woodland Hills, CA, 91364",14,0
533,"Wismettac Asian Foods, Inc.","13409 Orden Dr, Santa Fe Springs, CA, 90670",18,0
534,"Wood Ranch BBQ and Grill, Northridge Fashion Center","9301 Tampa Ave, Northridge, CA, 91324",12,0
535,Woodpecker Cabinets,"21512 Nordhoff St, Chatsworth, CA, 91311",5,0
536,"Woodward HRT, Inc.","25200 Rye Canyon Rd, Santa Clarita, CA, 91355",63,0
537,World Oil Corp.,"9302 Garfield Ave, South Gate, CA, 90280",10,0
538,"World Variety Produce, Inc.","5325 S Soto St, Vernon, CA, 90058",20,0
539,XPO Logistics Santa Fe Springs,"12903 Lakeland Rd, Santa Fe Springs, CA, 90670",12,0
540,Yummy Foods Sunset,"3607 W Sunset Blvd, Los Angeles, CA, 90026",10,0
541,Zara,"3306 Glendale Galleria, Glendale, CA, 91210",3,0
